Plats,År,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
Tibro MK,2023,118,Ungdom E0,28,Olle Söderberg,Falköpings MK,KTM,30:46.3  ,1,30:46.3
,,,,,,,,,,
Tibro MK,2023,119,Ungdom E0,9,William Sköld,Falköpings MK,KTM,31:22.0  ,1,31:22.0
,,,,,,,,,,
Tibro MK,2023,,Motion 50-59,1367,Anders Olsson,Götene MK,KTM,BRUTIT,0,00:00.0
,,,,,,,,,,
Tibro MK,2023,,Motion 50-59,1368,Anders Engström,Stenungsunds MS,Husqvarna,BRUTIT,0,00:00.0
,,,,,,,,,,
Tibro MK,2023,1,Ungdom E1,175,William Almén,SMK Värnamo,Husqvarna / Team Bloms MX Racing,17:31.1  17:27.5  18:06.3  ,3,53:05.1
Tibro MK,2023,2,Motion 40-49,1014,Per Korsell,Götene MK,Husaberg,17:28.7  17:45.7  18:01.5  ,3,53:16.0
,,,,,,,,,,
Tibro MK,2023,3,Motion -39,539,Niklas Mörk,Laxå MK,KTM,17:42.0  17:59.3  18:06.8  ,3,53:48.1
,,,,,,,,,,
Tibro MK,2023,4,Motion -39,519,Erik Larsson,Tibro MK,KTM,17:41.4  17:49.7  18:19.7  ,3,53:51.0
,,,,,,,,,,
Tibro MK,2023,5,Ungdom E1,165,Hugo Hellström,Norrahammars MK,Sherco,18:01.7  18:05.1  18:28.0  ,3,54:34.9
,,,,,,,,,,
Tibro MK,2023,6,Ungdom E1,183,Mille Söderblom,Hallsbergs MK,GasGas,18:04.9  18:17.2  18:14.7  ,3,54:36.9
,,,,,,,,,,
Tibro MK,2023,7,Motion -39,620,Hampus Östensson,Hallsbergs MK,KTM,18:11.9  18:41.7  17:53.3  ,3,54:47.1
,,,,,,,,,,
Tibro MK,2023,8,Ungdom E1,141,William Brehag Von Haugwitz,Carlsborgs MK,Yamaha,18:07.0  18:21.9  18:33.2  ,3,55:02.2
,,,,,,,,,,
Tibro MK,2023,9,Motion -39,518,Alexander Fält,Försvarsmaktens EK,Honda,18:16.2  18:08.0  18:40.5  ,3,55:04.8
,,,,,,,,,,
Tibro MK,2023,10,Ungdom E1,104,Theodor Popp,SMK Värnamo,Husqvarna,18:43.7  18:07.0  18:16.2  ,3,55:07.0
,,,,,,,,,,
Tibro MK,2023,11,Ungdom E1,188,Liam Ljungström,SMK Vingåker,Beta,18:18.3  18:21.5  18:30.1  ,3,55:10.0
,,,,,,,,,,
Tibro MK,2023,12,Motion 40-49,1111,Magnus Edberg,Huskvarna MK,KTM,18:44.7  18:05.2  18:25.8  ,3,55:15.8
,,,,,,,,,,
Tibro MK,2023,13,Motion -39,552,Jakob Johansson,Tidaholms MK,KTM,18:23.6  18:15.6  18:39.6  ,3,55:18.9
,,,,,,,,,,
Tibro MK,2023,14,Motion -39,568,Dennis Larsson,Örebro EK,KTM,18:28.7  18:45.0  18:28.8  ,3,55:42.7
,,,,,,,,,,
Tibro MK,2023,15,Motion -39,513,Joacim Wigertson,Kullings MS,KTM,18:41.0  18:39.7  18:37.5  ,3,55:58.3
,,,,,,,,,,
Tibro MK,2023,16,Motion 40-49,924,Sebastian Carlsson,SMK Vadstena,Husqvarna,18:50.9  18:34.4  18:35.1  ,3,56:00.4
,,,,,,,,,,
Tibro MK,2023,17,Ungdom E1,151,Liam Nilsson,FMCK Skövde,Husqvarna,18:31.5  18:36.1  18:53.8  ,3,56:01.4
,,,,,,,,,,
Tibro MK,2023,18,Motion -39,577,Måns Dalén,FMCK Skövde,KTM / Team A-Moto,18:37.3  18:45.7  18:52.2  ,3,56:15.2
,,,,,,,,,,
Tibro MK,2023,19,Motion -39,520,Linus Ernstsson,Bengtsfors MCC,Husqvarna,18:44.9  18:47.8  18:58.2  ,3,56:31.1
,,,,,,,,,,
Tibro MK,2023,20,Motion -39,536,Andreas Mörk,Laxå MK,KTM,18:44.2  18:56.7  18:51.0  ,3,56:32.0
,,,,,,,,,,
Tibro MK,2023,21,Ungdom E1,105,Alfred Gustavsson,Mariestads EK,GasGas,18:38.6  18:55.2  19:02.1  ,3,56:36.0
,,,,,,,,,,
Tibro MK,2023,22,Motion 40-49,944,Niklas Strömberg,Götene MK,Honda,18:50.5  19:03.4  19:07.2  ,3,57:01.3
,,,,,,,,,,
Tibro MK,2023,23,Motion 40-49,964,Andreas Remfäldt,Mariestads EK,KTM,19:10.3  19:17.7  18:41.1  ,3,57:09.3
,,,,,,,,,,
Tibro MK,2023,24,Motion -39,794,Joel Kvist,Försvarsmaktens EK,Husqvarna,19:05.8  18:55.6  19:07.8  ,3,57:09.3
,,,,,,,,,,
Tibro MK,2023,25,Ungdom E1,184,Sven Höglander,Djursdala SK,Husqvarna / Team Bloms MX Racing,19:01.8  18:46.5  19:22.3  ,3,57:10.8
,,,,,,,,,,
Tibro MK,2023,26,Motion 40-49,923,Stefan Liljedahl,Tibro MK,Honda,18:54.4  18:58.6  19:24.9  ,3,57:18.0
,,,,,,,,,,
Tibro MK,2023,27,Motion 40-49,931,Mårten Gustavsson,Försvarsmaktens EK,KTM,19:33.9  19:00.2  18:49.4  ,3,57:23.6
,,,,,,,,,,
Tibro MK,2023,28,Motion -39,547,Felix Johansson,Kinds MK,Honda,18:58.7  19:21.6  19:20.0  ,3,57:40.4
,,,,,,,,,,
Tibro MK,2023,29,Ungdom E1,162,Axel Plogner,Karlstad MX Klubb,Sherco / Team MC-Center Karlstad,19:29.3  19:13.6  19:08.5  ,3,57:51.5
,,,,,,,,,,
Tibro MK,2023,30,Motion -39,639,Melker Jansson,Karlskoga EK,KTM,19:10.0  19:33.0  19:15.3  ,3,57:58.3
,,,,,,,,,,
Tibro MK,2023,31,Motion 40-49,976,Joakim Ericsson,Töreboda MK,KTM,19:39.3  19:16.4  19:23.4  ,3,58:19.2
,,,,,,,,,,
Tibro MK,2023,32,Motion -39,581,Harald Lindholm,Älvbygdens MK,Husqvarna,19:49.5  19:27.9  19:26.3  ,3,58:43.7
,,,,,,,,,,
Tibro MK,2023,33,Motion 40-49,962,Jonas Bergqvist,Skene MS,Beta,19:54.1  19:35.5  19:28.7  ,3,58:58.5
,,,,,,,,,,
Tibro MK,2023,34,Motion -39,527,George Svantesson,Kullings MS,KTM,19:20.5  20:28.8  19:13.7  ,3,59:03.2
,,,,,,,,,,
Tibro MK,2023,35,Motion 40-49,972,Jonas Svensson,Hallsbergs MK,Yamaha,19:46.0  19:52.1  19:37.8  ,3,59:16.0
,,,,,,,,,,
Tibro MK,2023,36,Motion -39,551,Melker Svantesson,Kullings MS,KTM,19:47.8  19:43.0  19:59.6  ,3,59:30.5
,,,,,,,,,,
Tibro MK,2023,37,Motion -39,524,Marcus Hjelm,Falköpings MK,Kawasaki,20:09.6  19:57.3  19:25.3  ,3,59:32.2
,,,,,,,,,,
Tibro MK,2023,38,Motion -39,599,Jonathan Petersson,SMK Trollhättan,KTM,20:05.1  19:52.8  19:40.7  ,3,59:38.7
,,,,,,,,,,
Tibro MK,2023,39,Motion 40-49,960,Fredric Randström,Hagfors MS,Beta,19:43.8  19:51.3  20:04.2  ,3,59:39.3
,,,,,,,,,,
Tibro MK,2023,40,Motion 40-49,911,Ronny Eskengren,Älvbygdens MK,KTM,20:03.7  19:45.8  19:57.5  ,3,59:47.1
,,,,,,,,,,
Tibro MK,2023,41,Motion -39,537,Emil Meijer,Götene MK,Yamaha,19:51.8  19:45.1  20:12.5  ,3,59:49.6
,,,,,,,,,,
Tibro MK,2023,42,Motion -39,580,Albin Pettersson,Kristdala Motorsällskap,KTM / Ostkustmx Racing Team,19:51.0  19:50.1  20:12.1  ,3,59:53.3
,,,,,,,,,,
Tibro MK,2023,43,Motion 40-49,918,Andréas Svensson,Stenungsunds MS,KTM,20:05.6  19:54.8  19:54.5  ,3,59:55.0
,,,,,,,,,,
